seq,s
923,2225

924,2225

925,2225

926,2225

927,2224

928,2225

929,2225

930,2226

931,2225

932,2222

933,2222

